,N Rate,NRCNF > 1000,NRCNF > 1500,NRCNF > 2000,NRCNF > 2500,NRCNF,EFB
0,0,19,1,0,0,640,0
10,10,33,6,1,0,870,230
20,20,45,11,3,1,1020,380
30,30,55,16,5,2,1133,493
40,40,63,21,7,3,1224,584
50,50,69,26,9,3,1297,657
60,60,73,29,11,4,1358,718
70,70,75,32,13,5,1408,768
80,80,78,35,15,6,1450,810
90,90,79,37,17,7,1484,844
100,100,80,39,18,8,1512,872
110,110,81,40,19,9,1534,894
120,120,82,42,20,9,1552,912
130,130,82,42,21,10,1566,926
140,140,82,43,21,10,1576,936
150,150,82,43,22,11,1583,943
160,160,82,44,22,11,1588,948
170,170,82,44,22,11,1590,950
180,180,81,44,22,11,1590,950
190,190,81,43,22,11,1589,949
200,200,81,43,22,11,1586,946
