,N Rate,prob_1000,prob_1500,prob_2000,prob_2500,EProf,NRCNF
0,0,0.191639867583,0.0175955844891,0.000236467785578,2.09580165792e-06,640.2756113267644,0.0
10,10,0.33898634038,0.0655171517205,0.015936163166,0.00622377116986,871.2316836803286,230.9560723535642
20,20,0.459016200745,0.117927857587,0.0351089579359,0.0142854275365,1020.738900616582,380.46328928981757
30,30,0.556106486158,0.168443518537,0.0545703373843,0.0224412137017,1134.156034916556,493.8804235897917
40,40,0.633165239081,0.215490158471,0.0748366792802,0.0309194065665,1224.586732055638,584.3111207288737
50,50,0.691724355855,0.260336541842,0.0959711130772,0.0396954395444,1298.3308215841964,658.055210257432
60,60,0.733241096994,0.298680433648,0.116756058335,0.0486393150317,1359.1077228704237,718.8321115436593
70,70,0.76025242088,0.327909517727,0.136555231715,0.0577609179162,1409.3859571382607,769.1103458114962
80,80,0.782369051277,0.356283667029,0.15506407135,0.067097865991,1450.9432564640722,810.6676451373078
90,90,0.797069402042,0.379316890154,0.170588006371,0.076354385657,1485.1346385207019,844.8590271939374
100,100,0.809857247203,0.396509776887,0.184715174858,0.0849793290287,1513.0335308317233,872.7579195049589
110,110,0.816134452265,0.409928331774,0.196368005441,0.0913650013256,1535.5144432089598,895.2388318821954
120,120,0.822225118022,0.421265095851,0.205380758163,0.0982233479299,1553.3060671517273,913.0304558249629
130,130,0.825706899538,0.42771187124,0.212718421701,0.104022562136,1567.0278619157252,926.7522505889608
140,140,0.828087095368,0.434924334629,0.218131341649,0.108784081416,1577.2152653995101,936.9396540727457
150,150,0.825893680411,0.439009571717,0.223435607673,0.112832482447,1584.3371231061199,944.0615117793554
160,160,0.824328327387,0.441290524651,0.224124054913,0.115317617028,1588.8082478522808,948.5326365255164
170,170,0.82412255798,0.442193033247,0.225836481589,0.117172061609,1590.9990114204788,950.7234000937144
180,180,0.817557583676,0.442007405959,0.227316336168,0.118284709278,1591.243037064617,950.9674257378526
190,190,0.817889478758,0.439782583582,0.228559503289,0.119161221006,1589.843224019496,949.5676126927315
200,200,0.817488780969,0.435929625532,0.228733645012,0.120096667749,1587.076371322657,946.8007599958926
